"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 27 05:40:38 UTC 2023","Fri Oct 27 05:40:55 UTC 2023","16332","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Fri Oct 27 04:57:50 UTC 2023","Fri Oct 27 04:57:50 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Oct 27 05:41:11 UTC 2023","Fri Oct 27 05:41:46 UTC 2023","34605","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Fri Oct 27 04:57:50 UTC 2023","Fri Oct 27 04:57:50 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Oct 27 03:05:46 UTC 2023","Fri Oct 27 03:05:52 UTC 2023","6789","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Oct 27 04:26:13 UTC 2023","Fri Oct 27 04:26:15 UTC 2023","2123","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Oct 27 05:26:30 UTC 2023","Fri Oct 27 05:26:36 UTC 2023","5468","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"skipped","Fri Oct 27 04:57:50 UTC 2023","Fri Oct 27 04:57:50 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Oct 27 05:20:31 UTC 2023","Fri Oct 27 05:20:34 UTC 2023","3159","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Oct 27 05:20:14 UTC 2023","Fri Oct 27 05:20:25 UTC 2023","11331","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Oct 27 03:07:27 UTC 2023","Fri Oct 27 03:07:29 UTC 2023","2203","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Oct 27 05:29:02 UTC 2023","Fri Oct 27 05:29:04 UTC 2023","2598","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
